cell_id,lat,lon,depth_km,Degree,Betweenness,Closeness,PageRank,community
67_104_0,43.874627272727274,11.838286363636364,0.0,0.003424657534246575,0.00033482742946802906,0.3117041555470835,0.00013789144520661692,2
81_16_1,35.858,13.055,10.0,0.00016307893020221786,3.6423441710144594e-08,0.23765139036915028,1.7593682140138082e-05,2
80_96_1,43.095007894736845,13.400228947368422,10.0,0.005707762557077625,0.0006354880124532568,0.3262049154165337,0.0002459419860672972,3
76_132_0,46.32822,13.122216000000002,0.0,0.003995433789954338,0.00028197521326334466,0.326569739575012,0.00016511901762399534,5
74_99_1,43.37922882352941,12.691961176470588,10.0,0.02356490541422048,0.00832054268658385,0.376762618659949,0.0010009760379262695,2
68_105_0,43.9049668292683,11.979627804878048,0.0,0.014677103718199608,0.004196354777630481,0.364262801473209,0.0010602123427235078,0
76_94_1,42.916923552123556,12.908433204633205,10.0,0.03277886497064579,0.009795461760081507,0.3876841373206044,0.0015094481962772408,7
78_96_1,43.088636666666666,13.1213025,10.0,0.013209393346379647,0.0036523790993586193,0.36258278145695366,0.0006291883396877875,1
71_130_0,46.18772857142857,12.443176190476189,0.0,0.0030984996738421394,0.00016927461670418438,0.3063090064438783,0.00013090123172698653,12
83_42_1,38.19766666666667,13.402233333333333,10.0,0.0004892367906066536,1.2316243518989052e-06,0.2446829735445513,3.3197407047115416e-05,2
78_82_1,41.807,13.116,10.0,0.00032615786040443573,7.043466592604961e-05,0.25644564330970454,2.7409523792977824e-05,2
78_90_1,42.55706675324676,13.142425454545455,10.0,0.03807893020221787,0.013638706075882214,0.38870400304269276,0.002235359400219384,3
98_42_0,38.13383904109589,15.13285993150685,0.0,0.034654272667971296,0.009970124451342557,0.3871456531346676,0.0016404786487483924,5
74_82_1,41.82125,12.5814625,10.0,0.001223091976516634,0.00025107756188856285,0.2938822458124655,7.223257380619688e-05,3
74_81_1,41.77180476190476,12.58527142857143,10.0,0.0026908023483365948,0.00019293956308141468,0.3016454731042625,0.00014580109732943892,5
74_80_0,41.684,12.53,0.0,0.00016307893020221786,0.0,0.23175917002097624,1.819865582357936e-05,5
75_97_0,43.18058064516129,12.790574193548386,0.0,0.008643183300717547,0.0019824200479889153,0.34244548069136904,0.0003768547755099076,5
79_81_1,41.72558333333333,13.216333333333333,10.0,0.0009784735812133072,2.56264476470199e-05,0.3076459963877182,3.936637009362423e-05,12
57_125_0,45.76128571428571,10.620742857142858,0.0,0.00228310502283105,3.114461882324152e-05,0.31329671733299275,0.00010748515393009166,12
86_84_1,41.957050769230776,14.03654,10.0,0.00986627527723418,0.0009055901172140762,0.3424646058473653,0.0003634824920738745,5
102_70_2,40.619603846153844,15.821584615384616,20.0,0.00383235485975212,0.00014853565742482244,0.3292525773195876,0.00016264428143030694,13
74_90_0,42.566057446808514,12.609982978723405,0.0,0.007257012393998695,0.0009593189963534198,0.33571487230023817,0.00033310706686202933,2
75_90_0,42.566776595744685,12.727906382978723,0.0,0.007338551859099804,0.0008085341969819845,0.3450856805199921,0.0002980407803243682,0
93_79_1,41.47425,14.857025,10.0,0.001304631441617743,9.302038236471549e-06,0.30415157978274887,6.366231082035799e-05,5
73_86_0,42.2185,12.50325,0.0,0.0006523157208088715,0.00011731192856660896,0.3079008812231679,3.124841153964703e-05,5
76_99_1,43.36638333333334,12.943233333333334,10.0,0.0009784735812133072,0.00016685201880150118,0.2811618789976845,5.2749132379301103e-05,7
75_84_2,42.036,12.694,20.0,0.00016307893020221786,8.146456821332464e-05,0.2194781488242242,1.972555279751602e-05,7
53_102_0,43.688,10.099,0.0,0.00016307893020221786,0.0,0.17999031363282797,2.9009349483262028e-05,7
56_124_0,45.674099999999996,10.51189,0.0,0.0016307893020221786,0.0011196207812753046,0.2926829268292683,0.00010710529478766718,5
97_75_1,41.103001886792455,15.2796320754717,10.0,0.0077462491846053486,0.0004962620801884926,0.3319439181508147,0.0003452736874310485,5
79_94_1,42.880089336801035,13.233018465539661,10.0,0.020221787345075015,0.0033296902972701384,0.3776210856914124,0.002718868563577094,1
81_96_1,43.08238214285715,13.502105357142856,10.0,0.00839856490541422,0.001048448081079905,0.3437508759144547,0.00042842543098918625,2
96_25_0,36.6043,14.766333333333334,0.0,0.0004892367906066536,4.0366760051073576e-07,0.28580084360653446,2.8901683028254636e-05,2
