cell_id,lat,lon,depth_km,Degree,Betweenness,Closeness,PageRank,community
93_86_0,41.740876923076925,13.944684615384617,0.0,0.004556901307111164,0.000432710893996773,0.31162764625646966,0.00020256136140537197,8
93_85_0,41.64544615384615,13.951653846153846,0.0,0.002997961386257345,0.00017598885579310665,0.3054410929802392,0.00013482832778848356,8
38_134_1,46.17993333333334,7.2010000000000005,10.0,0.0003597553663508814,1.3195541871269512e-06,0.28635692455616224,2.077262037048974e-05,9
33_125_0,45.3321,6.6102083333333335,0.0,0.0014390214654035256,9.033218100854664e-05,0.28651434461432745,7.901911194238034e-05,9
33_126_1,45.40660714285714,6.607421428571429,10.0,0.0016188991485789662,7.853837036410151e-05,0.3049607782186546,7.228161942289017e-05,3
86_100_0,43.0096547660312,13.147666897746968,0.0,0.014749970020386137,0.002683281927087328,0.365577256088205,0.001493767187163258,12
43_123_2,45.15,7.86,20.0,0.0001199184554502938,8.343962058290561e-08,0.26772184409913957,1.1107265727704276e-05,8
80_103_1,43.34049621212121,12.494045454545454,10.0,0.0135507854658832,0.002791573923465707,0.3512488943178468,0.0006338292708764589,8
81_104_1,43.401097448979584,12.597194387755101,10.0,0.020446096654275093,0.00905812751738934,0.36020042330784846,0.0008944985888416272,8
92_86_1,41.74656,13.837645333333333,10.0,0.007854658831994243,0.0010050490262718248,0.3408194543782569,0.0003412700169082201,11
119_61_0,39.33933333333333,16.800666666666665,0.0,0.0010792660990526443,0.00012113299648066215,0.26697187494997676,6.442570466766255e-05,9
93_88_1,41.93179189189189,14.003091891891893,10.0,0.004077227485309989,0.0012094693182170561,0.32460101206695213,0.00018057200832292622,9
82_102_1,43.21844552238806,12.740082835820896,10.0,0.018467442139345244,0.00546968357518924,0.3599749627679092,0.0011218803353786892,8
34_113_1,44.25548947368421,6.78061052631579,10.0,0.002278450653555582,0.0002729946381443506,0.29509705044499884,0.00012988223842240335,5
109_42_8,37.672,15.513,80.0,0.0001199184554502938,5.999644048754473e-05,0.2278726601994808,1.4879528257395165e-05,5
110_40_7,37.539,15.579,70.0,0.0001199184554502938,3.361743783554354e-08,0.18559362585268688,2.2242265876293334e-05,5
