cell_id,lat,lon,depth_km,Degree,Betweenness,Closeness,PageRank,community
57_189_0,39.404374996428565,-120.10726191071429,0.0,0.0016403320835565076,5.8609493317259696e-05,0.35091511406620773,4.270558628951185e-05,2
26_210_2,40.47518854924083,-124.29246183859823,20.0,0.014863417246920193,0.001748354169393757,0.39402213340719927,0.0003757795593102863,5
47_131_0,34.196819445833334,-119.57364583333333,0.0,0.002510712372790573,4.266324618353588e-05,0.3658004947221474,5.788466272941366e-05,3
29_201_0,39.76960303151515,-123.62430908848484,0.0,0.0033141403320835565,5.204257334578933e-05,0.3604116646356913,7.202371896552416e-05,2
71_120_2,33.69888173263076,-116.73374316971116,20.0,0.022194697375468666,0.001565131100819287,0.4050275920979486,0.0005446559306708681,7
64_165_0,37.4654625743513,-118.62568113732536,0.0,0.01476298875200857,0.0008532672906413026,0.3916663388794923,0.0004018209466724998,4
49_201_0,40.26835534880724,-121.36813364522222,0.0,0.006628280664167113,0.00031739741387245857,0.3793414352292786,0.00014057247560924821,11
39_173_0,37.62264682857143,-121.64081746190476,0.0,0.002611140867702196,5.602300620563673e-05,0.3590859368426114,7.10770404146245e-05,2
77_124_0,34.18749146538462,-116.20912821923076,0.0,0.004418853776111408,6.629181037005735e-05,0.36480429871160774,9.339640116167622e-05,4
33_188_0,38.78193906044193,-122.74892263048964,0.0,0.2577664702731655,0.09857441911698564,0.5018227023031565,0.015154103824214903,2
73_113_1,33.1595329875,-116.377223959375,10.0,0.0054566148901981784,9.105511625069768e-05,0.3764919400577241,0.00013119538001558418,2
135_233_0,44.71728095714286,-111.92380475714286,0.0,0.00046866630958757364,1.9429538608492515e-06,0.3470542446527947,1.3153795605672355e-05,11
35_155_1,35.98514414324325,-121.51096395945946,10.0,0.0023768077129084093,2.0632088494104553e-05,0.3642527039715153,5.2276779998554344e-05,2
58_141_0,35.299150886785014,-118.62971236153847,0.0,0.020922603106588108,0.0034556773440826815,0.4036211322794217,0.0006378936477274813,2
64_134_0,34.786,-117.77066666666667,0.0,0.00020085698982324584,3.1839442438972165e-08,0.3159386567953464,8.158199005324659e-06,4
61_128_1,34.230166668888884,-117.99329630000001,10.0,0.0019416175682913765,1.3466760462641364e-05,0.36313243052685323,5.535578973757057e-05,2
46_155_1,36.22355841421569,-120.32763112704248,10.0,0.03558516336368506,0.003050464034207924,0.41575504523312456,0.0010221055988199543,2
